STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,LV,Latvia,2018,,13.8,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,LV,Latvia,2019,,14.0,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,LV,Latvia,2020,,14.1,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,LV,Latvia,2021,,15.1,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,LV,Latvia,2022,,14.7,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,LV,Latvia,2023,,15.6,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MK,North Macedonia,2013,,7.5,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MK,North Macedonia,2014,,8.3,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MK,North Macedonia,2015,,7.0,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MK,North Macedonia,2016,,7.7,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MK,North Macedonia,2017,,7.6,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MK,North Macedonia,2018,,7.7,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MK,North Macedonia,2019,,8.4,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MK,North Macedonia,2020,,6.4,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MK,North Macedonia,2021,,7.4,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MK,North Macedonia,2022,,9.8,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MT,Malta,2013,,15.8,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MT,Malta,2014,,15.7,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MT,Malta,2015,,15.3,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MT,Malta,2016,,13.7,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MT,Malta,2017,,13.8,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MT,Malta,2018,,12.0,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MT,Malta,2019,,11.1,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MT,Malta,2020,,10.1,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MT,Malta,2021,,11.3,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,MT,Malta,2022,,11.6,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,NL,Netherlands,2015,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,NL,Netherlands,2017,,12.0,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,NL,Netherlands,2018,,12.8,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,NL,Netherlands,2019,,13.6,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,NL,Netherlands,2020,,13.8,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,NL,Netherlands,2021,,15.5,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,NL,Netherlands,2022,,15.4,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,NL,Netherlands,2023,,16.1,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,NO,Norway,2013,,14.1,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,NO,Norway,2014,,14.6,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,NO,Norway,2015,,14.5,,,,,
