STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,CZ,Czechia,2021,,1523.4,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,CZ,Czechia,2022,,1694.5,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,DE,Germany,2012,,11733.4,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,DE,Germany,2013,,12477.5,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,DE,Germany,2014,,12902.9,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,DE,Germany,2015,,13902.0,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,DE,Germany,2016,,14639.3,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,DE,Germany,2017,,16011.3,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,DE,Germany,2018,,17271.0,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,DE,Germany,2019,,19177.6,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,DE,Germany,2020,,21765.3,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,DE,Germany,2021,,24774.8,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,DE,Germany,2022,,26015.4,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,DK,Denmark,2013,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,DK,Denmark,2016,,1243.4,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,DK,Denmark,2017,,1288.1,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,DK,Denmark,2018,,1306.9,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,DK,Denmark,2019,,1387.4,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,DK,Denmark,2020,,1469.6,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,DK,Denmark,2021,,1634.3,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,DK,Denmark,2022,,1568.6,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,EE,Estonia,2012,,77.1,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,EE,Estonia,2013,,66.6,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,EE,Estonia,2014,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,EE,Estonia,2015,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,EE,Estonia,2016,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,EE,Estonia,2017,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,EE,Estonia,2018,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,EE,Estonia,2019,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,EE,Estonia,2020,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,EE,Estonia,2021,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,EE,Estonia,2022,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,EL,Greece,2012,,460.9,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,EL,Greece,2013,,457.2,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,EL,Greece,2014,,480.6,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,EL,Greece,2015,,462.4,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,EL,Greece,2016,,474.3,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,EL,Greece,2017,,453.1,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,EL,Greece,2018,,468.5,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,EL,Greece,2019,,495.7,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,ES,Spain,2012,,5146.7,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,ES,Spain,2013,,4971.7,,,,,
dataflow,ESTAT:EDUC_UOE_FINE04(1.0),"Public expenditure on education in current prices, by education level and programme orientation",A,Annual,MIO_EUR,Million euro,ED02,Pre-primary education,ES,Spain,2014,,5007.8,,,,,
